,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,1696489000.0,1809376000.0,1804159000.0,1826216000.0,2000822000.0,2233047000.0,2427431000.0,,,,,,,,1809376000.0,1826216000.0,2233047000.0,,,,,1809376000.0,2000822000.0,,,,,1826216000.0,,,,1804159000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,620727000.0,712309000.0,797944000.0,836174000.0,858306000.0,884664000.0,900427000.0,993589000.0,1056724000.0,1139195000.0,1164932000.0,1141275000.0,1306451000.0,1481296000.0,1579835000.0,,,,712309000.0,836174000.0,884664000.0,993589000.0,1139195000.0,1141275000.0,1481296000.0,,620727000.0,836174000.0,900427000.0,1139195000.0,1306451000.0,,,836174000.0,993589000.0,1141275000.0,,620727000.0,884664000.0,1164932000.0,,884664000.0,620727000.0,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,213463000.0,233111000.0,240798000.0,263531000.0,271564000.0,294444000.0,284847000.0,342407000.0,360727000.0,334840000.0,361801000.0,383161000.0,451243000.0,496915000.0,522586000.0,,,,233111000.0,263531000.0,294444000.0,342407000.0,334840000.0,383161000.0,496915000.0,,213463000.0,263531000.0,284847000.0,334840000.0,451243000.0,,,263531000.0,342407000.0,383161000.0,,213463000.0,294444000.0,361801000.0,,294444000.0,213463000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,150734000.0,187609000.0,195351000.0,201268000.0,203371000.0,115123000.0,187246000.0,237924000.0,177888000.0,196871000.0,134325000.0,138837000.0,189379000.0,,,,,187609000.0,201268000.0,115123000.0,237924000.0,196871000.0,138837000.0,,,187609000.0,203371000.0,237924000.0,134325000.0,,,187609000.0,115123000.0,196871000.0,,,201268000.0,177888000.0,,201268000.0,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,46444000.0,44086000.0,55745000.0,70924000.0,75426000.0,76969000.0,78345000.0,44927000.0,23351000.0,58790000.0,42118000.0,45760000.0,30921000.0,35163000.0,43905000.0,,,,44086000.0,70924000.0,76969000.0,44927000.0,58790000.0,45760000.0,35163000.0,,46444000.0,70924000.0,78345000.0,58790000.0,30921000.0,,,70924000.0,44927000.0,45760000.0,,46444000.0,76969000.0,42118000.0,,76969000.0,46444000.0,,CommonMetricExtracted
NetIncome,,,,,,76408000.0,76486000.0,94989000.0,116685000.0,119925000.0,124299000.0,125026000.0,70196000.0,163895000.0,179134000.0,135770000.0,151111000.0,103404000.0,103674000.0,145474000.0,,,,76486000.0,116685000.0,124299000.0,70196000.0,179134000.0,151111000.0,103674000.0,,76408000.0,116685000.0,125026000.0,179134000.0,103404000.0,,,116685000.0,70196000.0,151111000.0,,76408000.0,124299000.0,135770000.0,,124299000.0,76408000.0,,CommonMetricExtracted
Cash,,,,,60151000.0,121258000.0,48812000.0,120123000.0,197479000.0,191769000.0,276553000.0,363795000.0,,,,,512868000.0,376399000.0,79443000.0,161571000.0,,,121258000.0,120123000.0,191769000.0,363795000.0,,,376399000.0,161571000.0,60151000.0,120123000.0,276553000.0,,512868000.0,161571000.0,,120123000.0,363795000.0,,161571000.0,60151000.0,191769000.0,,161571000.0,191769000.0,161571000.0,161571000.0,161571000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,128377000.0,135327000.0,142217000.0,152523000.0,151851000.0,156578000.0,187174000.0,200797000.0,203457000.0,190916000.0,208331000.0,249198000.0,279078000.0,278851000.0,,,,135327000.0,152523000.0,156578000.0,200797000.0,190916000.0,249198000.0,278851000.0,,135327000.0,151851000.0,200797000.0,208331000.0,278851000.0,,135327000.0,156578000.0,190916000.0,278851000.0,,152523000.0,203457000.0,278851000.0,152523000.0,278851000.0,278851000.0,278851000.0,CommonMetricExtracted
