,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,492000000.0,615000000.0,771000000.0,841000000.0,,,,,,954000000.0,895000000.0,934000000.0,1143000000.0,1102000000.0,1105000000.0,1372000000.0,1523000000.0,,,615000000.0,841000000.0,,,954000000.0,934000000.0,1102000000.0,1372000000.0,,771000000.0,,,934000000.0,1105000000.0,,615000000.0,,954000000.0,1102000000.0,,771000000.0,,1143000000.0,,,771000000.0,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,12418000000.0,11538000000.0,12158000000.0,12639000000.0,,,,,,14346000000.0,16173000000.0,17494000000.0,14840000000.0,13487000000.0,17945000000.0,30007000000.0,31666000000.0,,,11538000000.0,12639000000.0,,,14346000000.0,17494000000.0,13487000000.0,30007000000.0,,12158000000.0,,,17494000000.0,17945000000.0,,11538000000.0,,14346000000.0,13487000000.0,,12158000000.0,,14840000000.0,,,12158000000.0,,CommonMetricExtracted
Interest,,,,7348000000.0,8281000000.0,9383000000.0,9911000000.0,,,,,,12790000000.0,12464000000.0,12785000000.0,13369000000.0,13728000000.0,14906000000.0,18873000000.0,17188000000.0,,,8281000000.0,9911000000.0,,,12790000000.0,12785000000.0,13728000000.0,18873000000.0,,9383000000.0,,,12785000000.0,14906000000.0,,8281000000.0,,12790000000.0,13728000000.0,,9383000000.0,,13369000000.0,,,9383000000.0,,CommonMetricExtracted
Taxes,,,,1087000000.0,395000000.0,935000000.0,1841000000.0,,,,,,1264000000.0,1554000000.0,1648000000.0,1066000000.0,2181000000.0,1463000000.0,1407000000.0,1580000000.0,,,395000000.0,1841000000.0,,,1264000000.0,1648000000.0,2181000000.0,1407000000.0,,935000000.0,,,1648000000.0,1463000000.0,,395000000.0,,1264000000.0,2181000000.0,,935000000.0,,1066000000.0,,,935000000.0,,CommonMetricExtracted
NetIncome,,,,3012000000.0,2237000000.0,3265000000.0,4788000000.0,5490000000.0,5732000000.0,5908000000.0,5933000000.0,5944000000.0,6253000000.0,7124000000.0,6946000000.0,4985000000.0,7985000000.0,5838000000.0,5458000000.0,6329000000.0,,,2237000000.0,4788000000.0,5732000000.0,5933000000.0,6253000000.0,6946000000.0,7985000000.0,5458000000.0,,3265000000.0,5732000000.0,5944000000.0,6946000000.0,5838000000.0,,2237000000.0,5732000000.0,6253000000.0,7985000000.0,,3265000000.0,5933000000.0,4985000000.0,,5933000000.0,3265000000.0,,CommonMetricExtracted
Cash,,,,,6206000000.0,14487000000.0,13962000000.0,8252000000.0,8477000000.0,10654000000.0,11147000000.0,15705000000.0,19505000000.0,21453000000.0,22405000000.0,62580000000.0,28905000000.0,53542000000.0,61192000000.0,56502000000.0,,,14487000000.0,8252000000.0,10654000000.0,15705000000.0,21453000000.0,62580000000.0,53542000000.0,56502000000.0,6206000000.0,8252000000.0,11147000000.0,21453000000.0,28905000000.0,56502000000.0,,8252000000.0,15705000000.0,62580000000.0,56502000000.0,6206000000.0,10654000000.0,22405000000.0,56502000000.0,10654000000.0,56502000000.0,56502000000.0,56502000000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,,4792000000.0,3184000000.0,4826000000.0,3554000000.0,2056000000.0,5578000000.0,8761000000.0,7775000000.0,778626000000.0,749871000000.0,762237000000.0,,,,,4792000000.0,4826000000.0,2056000000.0,8761000000.0,778626000000.0,762237000000.0,,,3184000000.0,2056000000.0,7775000000.0,762237000000.0,,,4826000000.0,8761000000.0,762237000000.0,,4792000000.0,5578000000.0,762237000000.0,4792000000.0,762237000000.0,762237000000.0,762237000000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
PropertyPlantEquipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
