,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,230686000.0,547438000.0,1120806000.0,1558126000.0,1634123000.0,1976700000.0,1984100000.0,1005800000.0,,,1423000000.0,1107100000.0,,,,,230686000.0,1120806000.0,1634123000.0,1984100000.0,,1423000000.0,,,230686000.0,1558126000.0,1984100000.0,,,,230686000.0,1634123000.0,,,,1120806000.0,1005800000.0,,1120806000.0,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,982623000.0,1254041000.0,1313100000.0,1585200000.0,1424900000.0,588500000.0,1021500000.0,1415900000.0,1207000000.0,898300000.0,,,,,,982623000.0,1313100000.0,1424900000.0,1021500000.0,1207000000.0,,,,1254041000.0,1424900000.0,1415900000.0,,,,1313100000.0,1021500000.0,,,982623000.0,588500000.0,,982623000.0,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,34692000.0,80239000.0,108527000.0,152900000.0,182880000.0,218400000.0,214300000.0,181100000.0,168300000.0,180100000.0,168000000.0,160200000.0,,,,,34692000.0,108527000.0,182880000.0,214300000.0,168300000.0,168000000.0,,,34692000.0,152900000.0,214300000.0,180100000.0,,,34692000.0,182880000.0,168300000.0,,,108527000.0,181100000.0,,108527000.0,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,-39136000.0,-13606000.0,2229000.0,-1421000.0,-1100000.0,-55800000.0,29100000.0,-4100000.0,-10600000.0,13400000.0,26500000.0,40000000.0,,,,,-39136000.0,2229000.0,-1100000.0,29100000.0,-10600000.0,26500000.0,,,-39136000.0,-1421000.0,29100000.0,13400000.0,,,-39136000.0,-1100000.0,-10600000.0,,,2229000.0,-4100000.0,,2229000.0,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,68200000.0,74500000.0,,,,,,,,,,68200000.0,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,-7442000.0,-22869000.0,-10882000.0,51638000.0,10740000.0,2400000.0,-19600000.0,10500000.0,5600000.0,900000.0,4500000.0,6300000.0,,,,,-7442000.0,-10882000.0,10740000.0,-19600000.0,5600000.0,4500000.0,,,-7442000.0,51638000.0,-19600000.0,900000.0,,,-7442000.0,10740000.0,5600000.0,,,-10882000.0,10500000.0,,-10882000.0,,,CommonMetricExtracted
NetIncome,,,,,,,,,0.0,2559000.0,-197000.0,-2882000.0,-3580000.0,17900000.0,-4600000.0,-10100000.0,-8700000.0,-6100000.0,-3700000.0,-5100000.0,,,,,0.0,-197000.0,-3580000.0,-4600000.0,-8700000.0,-3700000.0,,,0.0,-2882000.0,-4600000.0,-6100000.0,,,0.0,-3580000.0,-8700000.0,,,-197000.0,-10100000.0,,-197000.0,,,CommonMetricExtracted
Cash,,,,,,,,23197000.0,8997000.0,107978000.0,158700000.0,115400000.0,97900000.0,325000000.0,239000000.0,232300000.0,45500000.0,80400000.0,80800000.0,48800000.0,,,,23197000.0,107978000.0,115400000.0,325000000.0,232300000.0,80400000.0,48800000.0,,23197000.0,158700000.0,325000000.0,45500000.0,48800000.0,,23197000.0,115400000.0,232300000.0,48800000.0,,107978000.0,239000000.0,48800000.0,107978000.0,48800000.0,48800000.0,48800000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,,152279000.0,210853000.0,267598000.0,322446000.0,379200000.0,337800000.0,184700000.0,247100000.0,254900000.0,278400000.0,194000000.0,,,,,152279000.0,267598000.0,379200000.0,184700000.0,254900000.0,194000000.0,,,210853000.0,379200000.0,247100000.0,194000000.0,,,267598000.0,184700000.0,194000000.0,,152279000.0,337800000.0,194000000.0,152279000.0,194000000.0,194000000.0,194000000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Inventory,,,,,,,,,,14975000.0,12120000.0,9648000.0,,,,9900000.0,17000000.0,18900000.0,22400000.0,20800000.0,,,,,14975000.0,9648000.0,,9900000.0,18900000.0,20800000.0,,,12120000.0,,17000000.0,20800000.0,,,9648000.0,9900000.0,20800000.0,,14975000.0,,20800000.0,14975000.0,20800000.0,20800000.0,20800000.0,CommonMetricExtracted
CurrentAssets,,,,,,,,,,,,,,,,6227300000.0,442600000.0,536400000.0,517900000.0,390900000.0,,,,,,,,6227300000.0,536400000.0,390900000.0,,,,,442600000.0,390900000.0,,,,6227300000.0,390900000.0,,,,390900000.0,,390900000.0,390900000.0,390900000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Goodwill,,,,,,,,,3378000.0,30540000.0,61178000.0,98100000.0,131741000.0,171700000.0,126800000.0,111000000.0,127400000.0,127100000.0,127100000.0,126700000.0,,,,,30540000.0,98100000.0,171700000.0,111000000.0,127100000.0,126700000.0,,,61178000.0,171700000.0,127400000.0,126700000.0,,,98100000.0,111000000.0,126700000.0,,30540000.0,126800000.0,126700000.0,30540000.0,126700000.0,126700000.0,126700000.0,CommonMetricExtracted
IntangibleAssets,,,,,,,,,,31158000.0,29409000.0,39722000.0,117105000.0,219200000.0,227000000.0,174600000.0,208400000.0,190100000.0,178900000.0,172400000.0,,,,,31158000.0,39722000.0,219200000.0,174600000.0,190100000.0,172400000.0,,,29409000.0,219200000.0,208400000.0,172400000.0,,,39722000.0,174600000.0,172400000.0,,31158000.0,227000000.0,172400000.0,31158000.0,172400000.0,172400000.0,172400000.0,CommonMetricExtracted
TotalAssets,,,,,,,,,,712163000.0,2742512000.0,2835276000.0,3217700000.0,6503800000.0,6958300000.0,6742800000.0,1080600000.0,1151700000.0,1043600000.0,891100000.0,,,,,712163000.0,2835276000.0,6503800000.0,6742800000.0,1151700000.0,891100000.0,,,2742512000.0,6503800000.0,1080600000.0,891100000.0,,,2835276000.0,6742800000.0,891100000.0,,712163000.0,6958300000.0,891100000.0,712163000.0,891100000.0,891100000.0,891100000.0,CommonMetricExtracted
ShorttermDebt,,,,,,,,,,,,,,,,433600000.0,69500000.0,30600000.0,30500000.0,162200000.0,,,,,,,,433600000.0,30600000.0,162200000.0,,,,,69500000.0,162200000.0,,,,433600000.0,162200000.0,,,,162200000.0,,162200000.0,162200000.0,162200000.0,CommonMetricExtracted
AccountsPayablesAndAccruedExpenses,,,,,,,,,,147602000.0,225389000.0,251733000.0,347500000.0,344900000.0,339600000.0,253400000.0,272600000.0,267900000.0,213700000.0,194500000.0,,,,,147602000.0,251733000.0,344900000.0,253400000.0,267900000.0,194500000.0,,,225389000.0,344900000.0,272600000.0,194500000.0,,,251733000.0,253400000.0,194500000.0,,147602000.0,339600000.0,194500000.0,147602000.0,194500000.0,194500000.0,194500000.0,CommonMetricExtracted
CurrentLiability,,,,,,,,,,,,,,,,6056400000.0,630300000.0,601300000.0,654200000.0,719000000.0,,,,,,,,6056400000.0,601300000.0,719000000.0,,,,,630300000.0,719000000.0,,,,6056400000.0,719000000.0,,,,719000000.0,,719000000.0,719000000.0,719000000.0,CommonMetricExtracted
LongtermDebt,,,,,,,,,,,,428496000.0,593200000.0,743900000.0,839300000.0,561500000.0,556800000.0,683800000.0,679300000.0,500600000.0,,,,,,428496000.0,743900000.0,561500000.0,683800000.0,500600000.0,,,,743900000.0,556800000.0,500600000.0,,,428496000.0,561500000.0,500600000.0,,,839300000.0,500600000.0,,500600000.0,500600000.0,500600000.0,CommonMetricExtracted
LongtermLiability,,,,,,,,,,1617000.0,17793000.0,92871000.0,70174000.0,110800000.0,205900000.0,116000000.0,63300000.0,71200000.0,82700000.0,46800000.0,,,,,1617000.0,92871000.0,110800000.0,116000000.0,71200000.0,46800000.0,,,17793000.0,110800000.0,63300000.0,46800000.0,,,92871000.0,116000000.0,46800000.0,,1617000.0,205900000.0,46800000.0,1617000.0,46800000.0,46800000.0,46800000.0,CommonMetricExtracted
TotalLiability,,,,,,,,,,563919000.0,2569247000.0,2735852000.0,3001700000.0,6281800000.0,6493100000.0,6126900000.0,1068700000.0,1181300000.0,1179900000.0,1034800000.0,,,,,563919000.0,2735852000.0,6281800000.0,6126900000.0,1181300000.0,1034800000.0,,,2569247000.0,6281800000.0,1068700000.0,1034800000.0,,,2735852000.0,6126900000.0,1034800000.0,,563919000.0,6493100000.0,1034800000.0,563919000.0,1034800000.0,1034800000.0,1034800000.0,CommonMetricExtracted
ShareholderEquity,,,,,,,,,,43849000.0,55741000.0,31985000.0,27905000.0,28300000.0,21600000.0,15700000.0,68100000.0,61000000.0,15400000.0,15600000.0,,,,,43849000.0,31985000.0,28300000.0,15700000.0,61000000.0,15600000.0,,,55741000.0,28300000.0,68100000.0,15600000.0,,,31985000.0,15700000.0,15600000.0,,43849000.0,21600000.0,15600000.0,43849000.0,15600000.0,15600000.0,15600000.0,CommonMetricExtracted
OperatingCashFlow,,,,,,,,,-20315000.0,5744000.0,-27914000.0,79148000.0,6600000.0,341400000.0,110700000.0,41700000.0,27000000.0,-9500000.0,26500000.0,9100000.0,,,,,-20315000.0,-27914000.0,6600000.0,110700000.0,27000000.0,26500000.0,,,-20315000.0,79148000.0,110700000.0,-9500000.0,,,-20315000.0,6600000.0,27000000.0,,,-27914000.0,41700000.0,,-27914000.0,,,CommonMetricExtracted
CapitalExpenditures,,,,,,,,,12577000.0,5819000.0,21324000.0,29048000.0,31925000.0,39700000.0,41400000.0,17800000.0,24100000.0,20700000.0,18400000.0,19000000.0,,,,,12577000.0,21324000.0,31925000.0,41400000.0,24100000.0,18400000.0,,,12577000.0,29048000.0,41400000.0,20700000.0,,,12577000.0,31925000.0,24100000.0,,,21324000.0,17800000.0,,21324000.0,,,CommonMetricExtracted
InvestingCashFlow,,,,,,,,,258144000.0,-148902000.0,-14742000.0,-140200000.0,-139253000.0,-224600000.0,-263600000.0,162300000.0,-223200000.0,-22500000.0,39100000.0,-13900000.0,,,,,258144000.0,-14742000.0,-139253000.0,-263600000.0,-223200000.0,39100000.0,,,258144000.0,-140200000.0,-263600000.0,-22500000.0,,,258144000.0,-139253000.0,-223200000.0,,,-14742000.0,162300000.0,,-14742000.0,,,CommonMetricExtracted
DividendsPaid,,,,,,,,,,777000.0,1005000.0,1322000.0,500000.0,500000.0,,,2900000.0,5200000.0,2200000.0,1200000.0,,,,,,1005000.0,500000.0,,2900000.0,2200000.0,,,,1322000.0,,5200000.0,,,,500000.0,2900000.0,,,1005000.0,,,1005000.0,,,CommonMetricExtracted
