,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,254350000.0,299794000.0,283958000.0,269812000.0,317919000.0,362580000.0,355048000.0,306522000.0,,,,,,,254350000.0,283958000.0,317919000.0,355048000.0,,,,,283958000.0,362580000.0,,,,254350000.0,317919000.0,,,,269812000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,142120000.0,156067000.0,178527000.0,172341000.0,165541000.0,192777000.0,212978000.0,204706000.0,180990000.0,,,,,,,156067000.0,172341000.0,192777000.0,204706000.0,,,,142120000.0,172341000.0,212978000.0,,,,156067000.0,192777000.0,,,,165541000.0,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,43356000.0,57297000.0,66847000.0,63666000.0,74521000.0,77348000.0,71282000.0,68938000.0,74614000.0,80935000.0,79622000.0,78256000.0,95273000.0,104285000.0,106828000.0,107505000.0,,,43356000.0,66847000.0,74521000.0,71282000.0,74614000.0,79622000.0,95273000.0,106828000.0,,57297000.0,74521000.0,68938000.0,79622000.0,104285000.0,,43356000.0,74521000.0,74614000.0,95273000.0,,57297000.0,71282000.0,78256000.0,,71282000.0,57297000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,6778000.0,18513000.0,15110000.0,10524000.0,5743000.0,6943000.0,506000.0,9607000.0,20563000.0,33989000.0,26440000.0,18309000.0,25912000.0,45088000.0,38436000.0,17564000.0,,,6778000.0,15110000.0,5743000.0,506000.0,20563000.0,26440000.0,25912000.0,38436000.0,,18513000.0,5743000.0,9607000.0,26440000.0,45088000.0,,6778000.0,5743000.0,20563000.0,25912000.0,,18513000.0,506000.0,18309000.0,,506000.0,18513000.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,2269000.0,3974000.0,2512000.0,,,,,,,,,,3974000.0,,,,,,2269000.0,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,5057000.0,6770000.0,4316000.0,-1240000.0,1251000.0,2912000.0,13500000.0,3199000.0,6169000.0,10344000.0,4145000.0,7509000.0,5469000.0,8535000.0,12426000.0,7730000.0,,,5057000.0,4316000.0,1251000.0,13500000.0,6169000.0,4145000.0,5469000.0,12426000.0,,6770000.0,1251000.0,3199000.0,4145000.0,8535000.0,,5057000.0,1251000.0,6169000.0,5469000.0,,6770000.0,13500000.0,7509000.0,,13500000.0,6770000.0,,CommonMetricExtracted
NetIncome,,,,,1704000.0,11706000.0,10771000.0,11691000.0,4436000.0,3853000.0,-13008000.0,6404000.0,14345000.0,23646000.0,22188000.0,10787000.0,20221000.0,36063000.0,25707000.0,9911000.0,,,1704000.0,10771000.0,4436000.0,-13008000.0,14345000.0,22188000.0,20221000.0,25707000.0,,11706000.0,4436000.0,6404000.0,22188000.0,36063000.0,,1704000.0,4436000.0,14345000.0,20221000.0,,11706000.0,-13008000.0,10787000.0,,-13008000.0,11706000.0,,CommonMetricExtracted
Cash,,,,,,,,,,,,,,,,,84335000.0,88562000.0,83965000.0,79272000.0,,,,,,,,,88562000.0,79272000.0,,,,,84335000.0,79272000.0,,,,,79272000.0,,,,79272000.0,,79272000.0,79272000.0,79272000.0,CommonMetricExtracted
CurrentReceivables,,,,,,33988000.0,34214000.0,28766000.0,40500000.0,37514000.0,35553000.0,34270000.0,46789000.0,53156000.0,43198000.0,,58265000.0,60068000.0,56438000.0,51200000.0,,,33988000.0,28766000.0,37514000.0,34270000.0,53156000.0,,60068000.0,51200000.0,,28766000.0,35553000.0,53156000.0,58265000.0,51200000.0,,28766000.0,34270000.0,,51200000.0,,37514000.0,43198000.0,51200000.0,37514000.0,51200000.0,51200000.0,51200000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,5540000.0,8964000.0,9572000.0,10500000.0,10601000.0,7814000.0,6831000.0,10299000.0,9314000.0,15558000.0,,15916000.0,18516000.0,14520000.0,17088000.0,,,5540000.0,9572000.0,10601000.0,6831000.0,9314000.0,,18516000.0,17088000.0,,9572000.0,7814000.0,9314000.0,15916000.0,17088000.0,,9572000.0,6831000.0,,17088000.0,,10601000.0,15558000.0,17088000.0,10601000.0,17088000.0,17088000.0,17088000.0,CommonMetricExtracted
Inventory,,,,,,48337000.0,49098000.0,49389000.0,54973000.0,54313000.0,56200000.0,56321000.0,59935000.0,62241000.0,66895000.0,,76427000.0,84660000.0,88139000.0,84160000.0,,,48337000.0,49389000.0,54313000.0,56321000.0,62241000.0,,84660000.0,84160000.0,,49389000.0,56200000.0,62241000.0,76427000.0,84160000.0,,49389000.0,56321000.0,,84160000.0,,54313000.0,66895000.0,84160000.0,54313000.0,84160000.0,84160000.0,84160000.0,CommonMetricExtracted
CurrentAssets,,,,,,174132000.0,177742000.0,185866000.0,183542000.0,187038000.0,162208000.0,155874000.0,191315000.0,214870000.0,212561000.0,,234943000.0,251806000.0,243062000.0,236949000.0,,,174132000.0,185866000.0,187038000.0,155874000.0,214870000.0,,251806000.0,236949000.0,,185866000.0,162208000.0,214870000.0,234943000.0,236949000.0,,185866000.0,155874000.0,,236949000.0,,187038000.0,212561000.0,236949000.0,187038000.0,236949000.0,236949000.0,236949000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,,46747000.0,53738000.0,52092000.0,49323000.0,51982000.0,56631000.0,55285000.0,55674000.0,59419000.0,61270000.0,,81220000.0,87127000.0,90636000.0,79501000.0,,,46747000.0,52092000.0,51982000.0,55285000.0,59419000.0,,87127000.0,79501000.0,,52092000.0,56631000.0,59419000.0,81220000.0,79501000.0,,52092000.0,55285000.0,,79501000.0,,51982000.0,61270000.0,79501000.0,51982000.0,79501000.0,79501000.0,79501000.0,CommonMetricExtracted
Goodwill,,,,,,,,0.0,18880000.0,12788000.0,12603000.0,18717000.0,19181000.0,16141000.0,35018000.0,,45830000.0,45544000.0,45734000.0,46819000.0,,,,0.0,12788000.0,18717000.0,16141000.0,,45544000.0,46819000.0,,0.0,12603000.0,16141000.0,45830000.0,46819000.0,,0.0,18717000.0,,46819000.0,,12788000.0,35018000.0,46819000.0,12788000.0,46819000.0,46819000.0,46819000.0,CommonMetricExtracted
IntangibleAssets,,,,,,14500000.0,11102000.0,8009000.0,22458000.0,17489000.0,17683000.0,21585000.0,20475000.0,17656000.0,34198000.0,,52437000.0,48217000.0,44634000.0,41815000.0,,,14500000.0,8009000.0,17489000.0,21585000.0,17656000.0,,48217000.0,41815000.0,,8009000.0,17683000.0,17656000.0,52437000.0,41815000.0,,8009000.0,21585000.0,,41815000.0,,17489000.0,34198000.0,41815000.0,17489000.0,41815000.0,41815000.0,41815000.0,CommonMetricExtracted
