,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
NetIncome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Cash,,,,,,201000.0,139300.0,81000.0,638100.0,0.0,70000.0,428500.0,2921300.0,10378300.0,13100300.0,1355100.0,103108300.0,68135300.0,16638000.0,119166000.0,,,201000.0,81000.0,0.0,428500.0,10378300.0,1355100.0,68135300.0,119166000.0,,81000.0,70000.0,10378300.0,103108300.0,119166000.0,,81000.0,428500.0,1355100.0,119166000.0,,0.0,13100300.0,119166000.0,0.0,119166000.0,119166000.0,119166000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,35700.0,426800.0,456600.0,644800.0,250900.0,225100.0,875700.0,2745800.0,802700.0,1432000.0,,,,,,426800.0,644800.0,225100.0,2745800.0,1432000.0,,,35700.0,644800.0,875700.0,1432000.0,,,426800.0,225100.0,1432000.0,,,250900.0,1432000.0,,1432000.0,1432000.0,1432000.0,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentAssets,,,,,,,204800.0,238100.0,671800.0,40500.0,105700.0,855300.0,3377900.0,11023100.0,13651200.0,1580200.0,104117500.0,70998000.0,17507400.0,120672000.0,,,,238100.0,40500.0,855300.0,11023100.0,1580200.0,70998000.0,120672000.0,,238100.0,105700.0,11023100.0,104117500.0,120672000.0,,238100.0,855300.0,1580200.0,120672000.0,,40500.0,13651200.0,120672000.0,40500.0,120672000.0,120672000.0,120672000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,,,87700.0,74500.0,180700.0,176300.0,117100.0,87600.0,286500.0,207400.0,312700.0,209600.0,367400.0,414300.0,507300.0,435000.0,,,,74500.0,176300.0,87600.0,207400.0,209600.0,414300.0,435000.0,,74500.0,117100.0,207400.0,367400.0,435000.0,,74500.0,87600.0,209600.0,435000.0,,176300.0,312700.0,435000.0,176300.0,435000.0,435000.0,435000.0,CommonMetricExtracted
Goodwill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
IntangibleAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
