,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,2167423000.0,2309078000.0,2419929000.0,2406596000.0,2365365000.0,2785874000.0,2971956000.0,2956416000.0,2958387000.0,,,,,,,2309078000.0,2406596000.0,2785874000.0,2956416000.0,,,,2167423000.0,2406596000.0,2971956000.0,,,,2309078000.0,2785874000.0,,,,2365365000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,594882000.0,653303000.0,730493000.0,737614000.0,783456000.0,824913000.0,,,947067000.0,992564000.0,1010700000.0,1006689000.0,1156533000.0,1248182000.0,1195223000.0,1200201000.0,,,594882000.0,730493000.0,783456000.0,,947067000.0,1010700000.0,1156533000.0,1195223000.0,,653303000.0,783456000.0,,1010700000.0,1248182000.0,,594882000.0,783456000.0,947067000.0,1156533000.0,,653303000.0,,1006689000.0,,,653303000.0,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,421403000.0,445456000.0,490011000.0,477270000.0,492965000.0,512707000.0,495747000.0,513031000.0,544703000.0,536902000.0,534791000.0,553698000.0,626968000.0,658026000.0,736014000.0,690148000.0,,,421403000.0,490011000.0,492965000.0,495747000.0,544703000.0,534791000.0,626968000.0,736014000.0,,445456000.0,492965000.0,513031000.0,534791000.0,658026000.0,,421403000.0,492965000.0,544703000.0,626968000.0,,445456000.0,495747000.0,553698000.0,,495747000.0,445456000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,77154000.0,84274000.0,92347000.0,96004000.0,100536000.0,107726000.0,118545000.0,125187000.0,132593000.0,143403000.0,142955000.0,140777000.0,168358000.0,176190000.0,174945000.0,183027000.0,,,77154000.0,92347000.0,100536000.0,118545000.0,132593000.0,142955000.0,168358000.0,174945000.0,,84274000.0,100536000.0,125187000.0,142955000.0,176190000.0,,77154000.0,100536000.0,132593000.0,168358000.0,,84274000.0,118545000.0,140777000.0,,118545000.0,84274000.0,,CommonMetricExtracted
OperatingMargin,,,,,394602000.0,449932000.0,528600000.0,511490000.0,517343000.0,517908000.0,567451000.0,625039000.0,662198000.0,739774000.0,708457000.0,645489000.0,821707000.0,873395000.0,817676000.0,826353000.0,,,394602000.0,528600000.0,517343000.0,567451000.0,662198000.0,708457000.0,821707000.0,817676000.0,,449932000.0,517343000.0,625039000.0,708457000.0,873395000.0,,394602000.0,517343000.0,662198000.0,821707000.0,,449932000.0,567451000.0,645489000.0,,567451000.0,449932000.0,,CommonMetricExtracted
Interest,,,,,10986000.0,13924000.0,21971000.0,28073000.0,30050000.0,34191000.0,36243000.0,44911000.0,56839000.0,48641000.0,48690000.0,49070000.0,44938000.0,48797000.0,98861000.0,89677000.0,,,10986000.0,21971000.0,30050000.0,36243000.0,56839000.0,48690000.0,44938000.0,98861000.0,,13924000.0,30050000.0,44911000.0,48690000.0,48797000.0,,10986000.0,30050000.0,56839000.0,44938000.0,,13924000.0,36243000.0,49070000.0,,36243000.0,13924000.0,,CommonMetricExtracted
Taxes,,,,,63339000.0,56100000.0,76284000.0,26182000.0,40102000.0,59120000.0,72866000.0,78611000.0,620786000.0,88352000.0,86041000.0,89343000.0,113350000.0,130091000.0,94009000.0,117034000.0,,,63339000.0,76284000.0,40102000.0,72866000.0,620786000.0,86041000.0,113350000.0,94009000.0,,56100000.0,40102000.0,78611000.0,86041000.0,130091000.0,,63339000.0,40102000.0,620786000.0,113350000.0,,56100000.0,72866000.0,89343000.0,,72866000.0,56100000.0,,CommonMetricExtracted
NetIncome,,,,,,,,461443000.0,450003000.0,431620000.0,469053000.0,521503000.0,20311000.0,593794000.0,592198000.0,521571000.0,692843000.0,707755000.0,642234000.0,637834000.0,,,,,450003000.0,469053000.0,20311000.0,592198000.0,692843000.0,642234000.0,,,450003000.0,521503000.0,592198000.0,707755000.0,,,450003000.0,20311000.0,692843000.0,,,469053000.0,521571000.0,,469053000.0,,,CommonMetricExtracted
Cash,,,597333000.0,428522000.0,341111000.0,308498000.0,383990000.0,481035000.0,440796000.0,422177000.0,487665000.0,505631000.0,642319000.0,796280000.0,,,501234000.0,480529000.0,,324421000.0,,428522000.0,308498000.0,481035000.0,422177000.0,505631000.0,796280000.0,,480529000.0,324421000.0,341111000.0,481035000.0,487665000.0,796280000.0,501234000.0,324421000.0,428522000.0,481035000.0,505631000.0,,324421000.0,341111000.0,422177000.0,,324421000.0,422177000.0,324421000.0,324421000.0,324421000.0,CommonMetricExtracted
CurrentReceivables,,,,,314247000.0,358237000.0,367085000.0,404556000.0,430985000.0,433616000.0,468315000.0,489340000.0,533825000.0,568316000.0,,,612648000.0,722892000.0,,733365000.0,,,358237000.0,404556000.0,433616000.0,489340000.0,568316000.0,,722892000.0,733365000.0,314247000.0,404556000.0,468315000.0,568316000.0,612648000.0,733365000.0,,404556000.0,489340000.0,,733365000.0,314247000.0,433616000.0,,733365000.0,433616000.0,733365000.0,733365000.0,733365000.0,CommonMetricExtracted
