,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,20718000000.0,21253000000.0,21037000000.0,20419000000.0,19456000000.0,21985000000.0,19724000000.0,19455000000.0,16607000000.0,,,,,,,21253000000.0,20419000000.0,21985000000.0,19455000000.0,,,,20718000000.0,20419000000.0,19724000000.0,,,,21253000000.0,21985000000.0,,,,19456000000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,17026000000.0,17651000000.0,17500000000.0,16908000000.0,15614000000.0,17576000000.0,16651000000.0,16285000000.0,14026000000.0,,,,,,,17651000000.0,16908000000.0,17576000000.0,16285000000.0,,,,17026000000.0,16908000000.0,16651000000.0,,,,17651000000.0,17576000000.0,,,,15614000000.0,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,1544000000.0,1604000000.0,1621000000.0,1757000000.0,1828000000.0,2038000000.0,2143000000.0,2084000000.0,2112000000.0,2189000000.0,2142000000.0,1877000000.0,2081000000.0,1820000000.0,1993000000.0,1684000000.0,,,1544000000.0,1621000000.0,1828000000.0,2143000000.0,2112000000.0,2142000000.0,2081000000.0,1993000000.0,,1604000000.0,1828000000.0,2084000000.0,2142000000.0,1820000000.0,,1544000000.0,1828000000.0,2112000000.0,2081000000.0,,1604000000.0,2143000000.0,1877000000.0,,2143000000.0,1604000000.0,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,688000000.0,1008000000.0,792000000.0,869000000.0,1249000000.0,1188000000.0,1285000000.0,1368000000.0,1136000000.0,279000000.0,1571000000.0,1623000000.0,2348000000.0,-1056000000.0,1015000000.0,143000000.0,,,688000000.0,792000000.0,1249000000.0,1285000000.0,1136000000.0,1571000000.0,2348000000.0,1015000000.0,,1008000000.0,1249000000.0,1368000000.0,1571000000.0,-1056000000.0,,688000000.0,1249000000.0,1136000000.0,2348000000.0,,1008000000.0,1285000000.0,1623000000.0,,1285000000.0,1008000000.0,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,190000000.0,351000000.0,358000000.0,,,,,,,,,,351000000.0,,,,,,190000000.0,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,-61000000.0,-64000000.0,-436000000.0,133000000.0,68000000.0,189000000.0,209000000.0,186000000.0,550000000.0,138000000.0,354000000.0,384000000.0,518000000.0,265000000.0,77000000.0,10000000.0,,,-61000000.0,-436000000.0,68000000.0,209000000.0,550000000.0,354000000.0,518000000.0,77000000.0,,-64000000.0,68000000.0,186000000.0,354000000.0,265000000.0,,-61000000.0,68000000.0,550000000.0,518000000.0,,-64000000.0,209000000.0,384000000.0,,209000000.0,-64000000.0,,CommonMetricExtracted
NetIncome,,,,,26000000.0,31000000.0,18000000.0,24000000.0,22000000.0,42000000.0,39000000.0,40000000.0,-13000000.0,24000000.0,14000000.0,-10000000.0,23000000.0,8000000.0,7000000.0,18000000.0,,,26000000.0,18000000.0,22000000.0,39000000.0,-13000000.0,14000000.0,23000000.0,7000000.0,,31000000.0,22000000.0,40000000.0,14000000.0,8000000.0,,26000000.0,22000000.0,-13000000.0,23000000.0,,31000000.0,39000000.0,-10000000.0,,39000000.0,31000000.0,,CommonMetricExtracted
Cash,,,201000000.0,146000000.0,1380000000.0,1368000000.0,1109000000.0,1168000000.0,1380000000.0,1026000000.0,772000000.0,1085000000.0,1196000000.0,1500000000.0,1952000000.0,2924000000.0,3044000000.0,1958000000.0,1570000000.0,1275000000.0,,146000000.0,1368000000.0,1168000000.0,1026000000.0,1085000000.0,1500000000.0,2924000000.0,1958000000.0,1275000000.0,1380000000.0,1168000000.0,772000000.0,1500000000.0,3044000000.0,1275000000.0,146000000.0,1168000000.0,1085000000.0,2924000000.0,1275000000.0,1380000000.0,1026000000.0,1952000000.0,1275000000.0,1026000000.0,1275000000.0,1275000000.0,1275000000.0,CommonMetricExtracted
CurrentReceivables,,,,,2500000000.0,2278000000.0,2105000000.0,2038000000.0,2005000000.0,2768000000.0,2530000000.0,2711000000.0,2665000000.0,2210000000.0,2198000000.0,3109000000.0,3100000000.0,1555000000.0,1529000000.0,1317000000.0,,,2278000000.0,2038000000.0,2768000000.0,2711000000.0,2210000000.0,3109000000.0,1555000000.0,1317000000.0,2500000000.0,2038000000.0,2530000000.0,2210000000.0,3100000000.0,1317000000.0,,2038000000.0,2711000000.0,3109000000.0,1317000000.0,2500000000.0,2768000000.0,2198000000.0,1317000000.0,2768000000.0,1317000000.0,1317000000.0,1317000000.0,CommonMetricExtracted
