,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,11404000000.0,11537000000.0,11529000000.0,11526000000.0,13431000000.0,15310000000.0,14206000000.0,13441000000.0,,,,,,,11404000000.0,11529000000.0,13431000000.0,14206000000.0,,,,,11529000000.0,15310000000.0,,,,11404000000.0,13431000000.0,,,,11526000000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,823000000.0,843000000.0,918000000.0,689000000.0,1081000000.0,1910000000.0,1456000000.0,951000000.0,,,,,,,823000000.0,918000000.0,1081000000.0,1456000000.0,,,,,918000000.0,1910000000.0,,,,823000000.0,1081000000.0,,,,689000000.0,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,1468572000.0,1619969000.0,1781602000.0,1822683000.0,1847555000.0,1948130000.0,2000512000.0,2240000000.0,2223000000.0,1965000000.0,2104000000.0,2116000000.0,2203000000.0,2428000000.0,2481000000.0,2386000000.0,,,1468572000.0,1781602000.0,1847555000.0,2000512000.0,2223000000.0,2104000000.0,2203000000.0,2481000000.0,,1619969000.0,1847555000.0,2240000000.0,2104000000.0,2428000000.0,,1468572000.0,1847555000.0,2223000000.0,2203000000.0,,1619969000.0,2000512000.0,2116000000.0,,2000512000.0,1619969000.0,,CommonMetricExtracted
Interest,,,,,561654000.0,577291000.0,591300000.0,601582000.0,575199000.0,566608000.0,595282000.0,647000000.0,663000000.0,700000000.0,773000000.0,840000000.0,842000000.0,953000000.0,1055000000.0,1255000000.0,,,561654000.0,591300000.0,575199000.0,595282000.0,663000000.0,773000000.0,842000000.0,1055000000.0,,577291000.0,575199000.0,647000000.0,773000000.0,953000000.0,,561654000.0,575199000.0,663000000.0,842000000.0,,577291000.0,595282000.0,840000000.0,,595282000.0,577291000.0,,CommonMetricExtracted
Taxes,,,,,,,,,,,,,,556000000.0,569000000.0,612000000.0,630000000.0,688000000.0,657000000.0,624000000.0,,,,,,,,569000000.0,630000000.0,657000000.0,,,,,569000000.0,688000000.0,,,,,630000000.0,,,,612000000.0,,,,,CommonMetricExtracted
NetIncome,,,,,680887000.0,755834000.0,841172000.0,905229000.0,948234000.0,1021306000.0,984485000.0,1123379000.0,1148000000.0,1261000000.0,1372000000.0,1473000000.0,1597000000.0,1736000000.0,1771000000.0,1936000000.0,,,680887000.0,841172000.0,948234000.0,984485000.0,1148000000.0,1372000000.0,1597000000.0,1771000000.0,,755834000.0,948234000.0,1123379000.0,1372000000.0,1736000000.0,,680887000.0,948234000.0,1148000000.0,1597000000.0,,755834000.0,984485000.0,1473000000.0,,984485000.0,755834000.0,,CommonMetricExtracted
Cash,,,,,,,,,,,,,,147000000.0,248000000.0,129000000.0,166000000.0,111000000.0,129000000.0,179000000.0,,,,,,,147000000.0,129000000.0,111000000.0,179000000.0,,,,147000000.0,166000000.0,179000000.0,,,,129000000.0,179000000.0,,,248000000.0,179000000.0,,179000000.0,179000000.0,179000000.0,CommonMetricExtracted
CurrentReceivables,,,,,,718474000.0,753120000.0,718046000.0,744160000.0,826506000.0,724606000.0,776289000.0,797000000.0,860000000.0,837000000.0,916000000.0,1018000000.0,1373000000.0,1315000000.0,1249000000.0,,,718474000.0,718046000.0,826506000.0,776289000.0,860000000.0,916000000.0,1373000000.0,1249000000.0,,718046000.0,724606000.0,860000000.0,1018000000.0,1249000000.0,,718046000.0,776289000.0,916000000.0,1249000000.0,,826506000.0,837000000.0,1249000000.0,826506000.0,1249000000.0,1249000000.0,1249000000.0,CommonMetricExtracted
PrepaidExpenses,,,,,192791000.0,193621000.0,121480000.0,171315000.0,252258000.0,171112000.0,155734000.0,138682000.0,183000000.0,154000000.0,185000000.0,250000000.0,289000000.0,360000000.0,294000000.0,652000000.0,,,193621000.0,171315000.0,171112000.0,138682000.0,154000000.0,250000000.0,360000000.0,652000000.0,192791000.0,171315000.0,155734000.0,154000000.0,289000000.0,652000000.0,,171315000.0,138682000.0,250000000.0,652000000.0,192791000.0,171112000.0,185000000.0,652000000.0,171112000.0,652000000.0,652000000.0,652000000.0,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentAssets,,,,,2976635000.0,2732643000.0,2982564000.0,2625139000.0,3218040000.0,3364380000.0,2910445000.0,2842081000.0,2973000000.0,3094000000.0,3113000000.0,3275000000.0,4239000000.0,5144000000.0,4069000000.0,4325000000.0,,,2732643000.0,2625139000.0,3364380000.0,2842081000.0,3094000000.0,3275000000.0,5144000000.0,4325000000.0,2976635000.0,2625139000.0,2910445000.0,3094000000.0,4239000000.0,4325000000.0,,2625139000.0,2842081000.0,3275000000.0,4325000000.0,2976635000.0,3364380000.0,3113000000.0,4325000000.0,3364380000.0,4325000000.0,4325000000.0,4325000000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,18508296000.0,20663082000.0,22353367000.0,23809348000.0,26122159000.0,28756916000.0,31205851000.0,32842000000.0,34329000000.0,36944000000.0,39483000000.0,42950000000.0,45457000000.0,48253000000.0,51642000000.0,57198000000.0,,,20663082000.0,23809348000.0,28756916000.0,32842000000.0,36944000000.0,42950000000.0,48253000000.0,57198000000.0,18508296000.0,23809348000.0,31205851000.0,36944000000.0,45457000000.0,57198000000.0,,23809348000.0,32842000000.0,42950000000.0,57198000000.0,18508296000.0,28756916000.0,39483000000.0,57198000000.0,28756916000.0,57198000000.0,57198000000.0,57198000000.0,CommonMetricExtracted
Goodwill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
IntangibleAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
TotalAssets,,,,,25305961000.0,27387690000.0,29497267000.0,31140686000.0,33907490000.0,36957884000.0,39053535000.0,41155277000.0,43030000000.0,45987000000.0,50448000000.0,53957000000.0,57851000000.0,61188000000.0,64079000000.0,70035000000.0,,,27387690000.0,31140686000.0,36957884000.0,41155277000.0,45987000000.0,53957000000.0,61188000000.0,70035000000.0,25305961000.0,31140686000.0,39053535000.0,45987000000.0,57851000000.0,70035000000.0,,31140686000.0,41155277000.0,53957000000.0,70035000000.0,25305961000.0,36957884000.0,50448000000.0,70035000000.0,36957884000.0,70035000000.0,70035000000.0,70035000000.0,CommonMetricExtracted
ShorttermDebt,,,,,543814000.0,55415000.0,1059922000.0,258155000.0,280763000.0,257726000.0,657021000.0,255529000.0,457000000.0,406000000.0,702000000.0,421000000.0,601000000.0,1151000000.0,552000000.0,1103000000.0,,,55415000.0,258155000.0,257726000.0,255529000.0,406000000.0,421000000.0,1151000000.0,1103000000.0,543814000.0,258155000.0,657021000.0,406000000.0,601000000.0,1103000000.0,,258155000.0,255529000.0,421000000.0,1103000000.0,543814000.0,257726000.0,702000000.0,1103000000.0,257726000.0,1103000000.0,1103000000.0,1103000000.0,CommonMetricExtracted
