,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,,,,549000.0,-173000.0,-256000.0,361000.0,686000.0,,,,,,,,,-173000.0,361000.0,,,,,,-256000.0,,,,,-173000.0,,,,549000.0,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,,,,,0.0,-38000.0,-92000.0,-38000.0,-4000.0,31000.0,-29000.0,,,,,,,,-38000.0,-38000.0,31000.0,,,,,-38000.0,-4000.0,,,,,-38000.0,,,,-92000.0,,,,,CommonMetricExtracted
NetIncome,,,,,,,,,-2005000.0,-1843000.0,,-1710000.0,942000.0,3598000.0,-3289000.0,-939000.0,-2367000.0,-3928000.0,-3754000.0,-5368000.0,,,,,-2005000.0,,942000.0,-3289000.0,-2367000.0,-3754000.0,,,-2005000.0,-1710000.0,-3289000.0,-3928000.0,,,-2005000.0,942000.0,-2367000.0,,,,-939000.0,,,,,CommonMetricExtracted
Cash,,,,,,,,,,,,,,,,,,,0.0,230000.0,,,,,,,,,,230000.0,,,,,,230000.0,,,,,230000.0,,,,230000.0,,230000.0,230000.0,230000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
PrepaidExpenses,,,,,,421000.0,488000.0,210000.0,115000.0,40000.0,70000.0,89000.0,114000.0,211000.0,46000.0,26000.0,303000.0,38000.0,273000.0,66000.0,,,421000.0,210000.0,40000.0,89000.0,211000.0,26000.0,38000.0,66000.0,,210000.0,70000.0,211000.0,303000.0,66000.0,,210000.0,89000.0,26000.0,66000.0,,40000.0,46000.0,66000.0,40000.0,66000.0,66000.0,66000.0,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CurrentAssets,,,,,,6113000.0,5281000.0,7936000.0,3784000.0,3217000.0,17990000.0,16797000.0,14613000.0,12136000.0,8756000.0,8049000.0,7159000.0,5254000.0,9941000.0,5992000.0,,,6113000.0,7936000.0,3217000.0,16797000.0,12136000.0,8049000.0,5254000.0,5992000.0,,7936000.0,17990000.0,12136000.0,7159000.0,5992000.0,,7936000.0,16797000.0,8049000.0,5992000.0,,3217000.0,8756000.0,5992000.0,3217000.0,5992000.0,5992000.0,5992000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Goodwill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
IntangibleAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
