,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,,,,,,,,38000.0,570694.0,,,,,,,,,,38000.0,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,,,,,0.0,0.0,,,,0.0,192983.0,,,,,,,,0.0,,0.0,,,,,0.0,,,,,,,,,,,,,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,,,,,,,,,,0.0,22683.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,,,,,,-71811.0,-72334.0,-52094.0,139682.0,-24227.0,205734.0,,,,,,,,-71811.0,-52094.0,-24227.0,,,,,-71811.0,139682.0,,,,,-52094.0,,,,-72334.0,,,,,CommonMetricExtracted
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Taxes,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,64869.0,,,,,,,,0.0,0.0,0.0,,,,,0.0,0.0,,,,,0.0,,,,0.0,,,,,CommonMetricExtracted
NetIncome,,,,,,,,,,,,,-7175.0,-1595.0,-106167.0,-72334.0,-52094.0,139682.0,-24227.0,140865.0,,,,,,,-7175.0,-106167.0,-52094.0,-24227.0,,,,,-106167.0,139682.0,,,,-7175.0,-52094.0,,,,-72334.0,,,,,CommonMetricExtracted
Cash,,,,,,,,,,,,,,,,,,,8728.0,593036.0,,,,,,,,,,593036.0,,,,,,593036.0,,,,,593036.0,,,,593036.0,,593036.0,593036.0,593036.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Inventory,,,,,,,,,,,,,,,,,,,0.0,132873.0,,,,,,,,,,132873.0,,,,,,132873.0,,,,,132873.0,,,,132873.0,,132873.0,132873.0,132873.0,CommonMetricExtracted
CurrentAssets,,,,,,,,,,,,,5564.0,16694.0,0.0,0.0,0.0,23103.0,8728.0,1192858.0,,,,,,,16694.0,0.0,23103.0,1192858.0,,,,16694.0,0.0,1192858.0,,,,0.0,1192858.0,,,0.0,1192858.0,,1192858.0,1192858.0,1192858.0,CommonMetricExtracted
