,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2Y: 2005-06,2Y: 2007-08,2Y: 2009-10,2Y: 2011-12,2Y: 2013-14,2Y: 2015-16,2Y: 2017-18,2Y: 2019-20,2Y: 2021-22,2Y: 2023-24,3Y: 2007-09,3Y: 2010-12,3Y: 2013-15,3Y: 2016-18,3Y: 2019-21,3Y: 2022-24,4Y: 2005-08,4Y: 2009-12,4Y: 2013-16,4Y: 2017-20,4Y: 2021-24,5Y: 2005-09,5Y: 2010-14,5Y: 2015-19,5Y: 2020-24,10Y: 2005-14,10Y: 2015-24,15Y: 2010-24,20Y: 2005-24,statementType
Revenue,,,,,,,,,,,,4888000000.0,5307000000.0,5825000000.0,6260000000.0,6675000000.0,7776000000.0,8080000000.0,8544000000.0,9256000000.0,,,,,,,5307000000.0,6260000000.0,7776000000.0,8544000000.0,,,,4888000000.0,6260000000.0,8080000000.0,,,,5307000000.0,7776000000.0,,,,6675000000.0,,,,,CommonMetricExtracted
CostOfGoodsAndServices,,,,,,,,,,1717000000.0,1738000000.0,1666000000.0,1775000000.0,1911000000.0,1992000000.0,2057000000.0,2303000000.0,2454000000.0,2561000000.0,2719000000.0,,,,,,1738000000.0,1775000000.0,1992000000.0,2303000000.0,2561000000.0,,,,1666000000.0,1992000000.0,2454000000.0,,,,1775000000.0,2303000000.0,,,1738000000.0,2057000000.0,,1738000000.0,,,CommonMetricExtracted
SellingGeneralAdministrative,,,,,,,,,,1643000000.0,1532000000.0,1364000000.0,1334000000.0,1484000000.0,1638000000.0,1726000000.0,2001000000.0,2009000000.0,2151000000.0,2318000000.0,,,,,,1532000000.0,1334000000.0,1638000000.0,2001000000.0,2151000000.0,,,,1364000000.0,1638000000.0,2009000000.0,,,,1334000000.0,2001000000.0,,,1532000000.0,1726000000.0,,1532000000.0,,,CommonMetricExtracted
ResearchAndDevelopment,,,,,,,,,,396000000.0,364000000.0,376000000.0,382000000.0,432000000.0,457000000.0,463000000.0,508000000.0,539000000.0,614000000.0,686000000.0,,,,,,364000000.0,382000000.0,457000000.0,508000000.0,614000000.0,,,,376000000.0,457000000.0,539000000.0,,,,382000000.0,508000000.0,,,364000000.0,463000000.0,,364000000.0,,,CommonMetricExtracted
OperatingMargin,,,,,,,,,,820000000.0,545000000.0,1228000000.0,1525000000.0,1690000000.0,1801000000.0,1996000000.0,2488000000.0,2656000000.0,2936000000.0,3133000000.0,,,,,,545000000.0,1525000000.0,1801000000.0,2488000000.0,2936000000.0,,,,1228000000.0,1801000000.0,2656000000.0,,,,1525000000.0,2488000000.0,,,545000000.0,1996000000.0,,545000000.0,,,CommonMetricExtracted
Interest,,,,,,,,,,117000000.0,124000000.0,166000000.0,175000000.0,206000000.0,223000000.0,231000000.0,224000000.0,221000000.0,239000000.0,225000000.0,,,,,,124000000.0,175000000.0,223000000.0,224000000.0,239000000.0,,,,166000000.0,223000000.0,221000000.0,,,,175000000.0,224000000.0,,,124000000.0,231000000.0,,124000000.0,,,CommonMetricExtracted
Taxes,,,,,,,,,,233000000.0,206000000.0,409000000.0,663000000.0,266000000.0,301000000.0,360000000.0,454000000.0,545000000.0,596000000.0,637000000.0,,,,,,206000000.0,663000000.0,301000000.0,454000000.0,596000000.0,,,,409000000.0,301000000.0,545000000.0,,,,663000000.0,454000000.0,,,206000000.0,360000000.0,,206000000.0,,,CommonMetricExtracted
NetIncome,,,,,,,248000000.0,436000000.0,503000000.0,587000000.0,339000000.0,819000000.0,862000000.0,1424000000.0,1500000000.0,1636000000.0,2034000000.0,2111000000.0,2340000000.0,2496000000.0,,,,248000000.0,503000000.0,339000000.0,862000000.0,1500000000.0,2034000000.0,2340000000.0,,,503000000.0,819000000.0,1500000000.0,2111000000.0,,,503000000.0,862000000.0,2034000000.0,,,339000000.0,1636000000.0,,339000000.0,,,CommonMetricExtracted
Cash,,,,,,,,,,,,727000000.0,1564000000.0,1602000000.0,1934000000.0,3604000000.0,3485000000.0,3581000000.0,2041000000.0,1987000000.0,,,,,,727000000.0,1602000000.0,3604000000.0,3581000000.0,1987000000.0,,,,1602000000.0,3485000000.0,1987000000.0,,,727000000.0,3604000000.0,1987000000.0,,,1934000000.0,1987000000.0,,1987000000.0,1987000000.0,1987000000.0,CommonMetricExtracted
CurrentReceivables,,,,,,,,900000000.0,1138000000.0,980000000.0,937000000.0,913000000.0,,1036000000.0,1086000000.0,1013000000.0,1133000000.0,1215000000.0,1304000000.0,1316000000.0,,,,900000000.0,980000000.0,913000000.0,1036000000.0,1013000000.0,1215000000.0,1316000000.0,,900000000.0,937000000.0,1036000000.0,1133000000.0,1316000000.0,,900000000.0,913000000.0,1013000000.0,1316000000.0,,980000000.0,1086000000.0,1316000000.0,980000000.0,1316000000.0,1316000000.0,1316000000.0,CommonMetricExtracted
PrepaidExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
Inventory,,,,,,,,1345000000.0,1293000000.0,1289000000.0,1467000000.0,1502000000.0,,1391000000.0,1410000000.0,1628000000.0,1923000000.0,2345000000.0,2564000000.0,2306000000.0,,,,1345000000.0,1289000000.0,1502000000.0,1391000000.0,1628000000.0,2345000000.0,2306000000.0,,1345000000.0,1467000000.0,1391000000.0,1923000000.0,2306000000.0,,1345000000.0,1502000000.0,1628000000.0,2306000000.0,,1289000000.0,1410000000.0,2306000000.0,1289000000.0,2306000000.0,2306000000.0,2306000000.0,CommonMetricExtracted
CurrentAssets,,,,,,,,2864000000.0,3357000000.0,3465000000.0,3830000000.0,3390000000.0,,4399000000.0,4748000000.0,6611000000.0,6930000000.0,7506000000.0,6343000000.0,5986000000.0,,,,2864000000.0,3465000000.0,3390000000.0,4399000000.0,6611000000.0,7506000000.0,5986000000.0,,2864000000.0,3830000000.0,4399000000.0,6930000000.0,5986000000.0,,2864000000.0,3390000000.0,6611000000.0,5986000000.0,,3465000000.0,4748000000.0,5986000000.0,3465000000.0,5986000000.0,5986000000.0,5986000000.0,CommonMetricExtracted
PropertyPlantEquipment,,,,,,,,1241000000.0,1295000000.0,1318000000.0,1307000000.0,1381000000.0,,1658000000.0,1940000000.0,2202000000.0,2422000000.0,2753000000.0,3204000000.0,3391000000.0,,,,1241000000.0,1318000000.0,1381000000.0,1658000000.0,2202000000.0,2753000000.0,3391000000.0,,1241000000.0,1307000000.0,1658000000.0,2422000000.0,3391000000.0,,1241000000.0,1381000000.0,2202000000.0,3391000000.0,,1318000000.0,1940000000.0,3391000000.0,1318000000.0,3391000000.0,3391000000.0,3391000000.0,CommonMetricExtracted
Goodwill,,,,,,,989000000.0,985000000.0,982000000.0,976000000.0,1455000000.0,1481000000.0,1510000000.0,2519000000.0,2592000000.0,2694000000.0,2682000000.0,2746000000.0,2759000000.0,2724000000.0,,,,985000000.0,976000000.0,1481000000.0,2519000000.0,2694000000.0,2746000000.0,2724000000.0,,985000000.0,1455000000.0,2519000000.0,2682000000.0,2724000000.0,,985000000.0,1481000000.0,2694000000.0,2724000000.0,,976000000.0,2592000000.0,2724000000.0,976000000.0,2724000000.0,2724000000.0,2724000000.0,CommonMetricExtracted
IntangibleAssets,,,,,,,,868000000.0,803000000.0,727000000.0,1190000000.0,1228000000.0,,2046000000.0,1890000000.0,1710000000.0,1474000000.0,1380000000.0,1338000000.0,1127000000.0,,,,868000000.0,727000000.0,1228000000.0,2046000000.0,1710000000.0,1380000000.0,1127000000.0,,868000000.0,1190000000.0,2046000000.0,1474000000.0,1127000000.0,,868000000.0,1228000000.0,1710000000.0,1127000000.0,,727000000.0,1890000000.0,1127000000.0,727000000.0,1127000000.0,1127000000.0,1127000000.0,CommonMetricExtracted
TotalAssets,,,,,,,,6262000000.0,6558000000.0,6588000000.0,7913000000.0,7649000000.0,,10777000000.0,11545000000.0,13609000000.0,13900000000.0,14925000000.0,14286000000.0,14237000000.0,,,,6262000000.0,6588000000.0,7649000000.0,10777000000.0,13609000000.0,14925000000.0,14237000000.0,,6262000000.0,7913000000.0,10777000000.0,13900000000.0,14237000000.0,,6262000000.0,7649000000.0,13609000000.0,14237000000.0,,6588000000.0,11545000000.0,14237000000.0,6588000000.0,14237000000.0,14237000000.0,14237000000.0,CommonMetricExtracted
ShorttermDebt,,,,,,,,,,,,,,0.0,500000000.0,600000000.0,0.0,1350000000.0,0.0,1350000000.0,,,,,,,0.0,600000000.0,1350000000.0,1350000000.0,,,,0.0,0.0,1350000000.0,,,,600000000.0,1350000000.0,,,500000000.0,1350000000.0,,1350000000.0,1350000000.0,1350000000.0,CommonMetricExtracted
AccountsPayablesAndAccruedExpenses,,,,,,,,349000000.0,582000000.0,833000000.0,1079000000.0,852000000.0,61000000.0,914000000.0,975000000.0,1178000000.0,1338000000.0,1418000000.0,1402000000.0,1496000000.0,,,,349000000.0,833000000.0,852000000.0,914000000.0,1178000000.0,1418000000.0,1496000000.0,,349000000.0,1079000000.0,914000000.0,1338000000.0,1496000000.0,,349000000.0,852000000.0,1178000000.0,1496000000.0,,833000000.0,975000000.0,1496000000.0,833000000.0,1496000000.0,1496000000.0,1496000000.0,CommonMetricExtracted
CurrentLiability,,,,,,,,1317000000.0,1644000000.0,1807000000.0,2750000000.0,1846000000.0,,2010000000.0,2680000000.0,3114000000.0,2966000000.0,4246000000.0,3056000000.0,4724000000.0,,,,1317000000.0,1807000000.0,1846000000.0,2010000000.0,3114000000.0,4246000000.0,4724000000.0,,1317000000.0,2750000000.0,2010000000.0,2966000000.0,4724000000.0,,1317000000.0,1846000000.0,3114000000.0,4724000000.0,,1807000000.0,2680000000.0,4724000000.0,1807000000.0,4724000000.0,4724000000.0,4724000000.0,CommonMetricExtracted
LongtermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CommonMetricExtracted
LongtermLiability,,,,,,,,107000000.0,168000000.0,207000000.0,251000000.0,248000000.0,,187000000.0,393000000.0,433000000.0,390000000.0,403000000.0,425000000.0,396000000.0,,,,107000000.0,207000000.0,248000000.0,187000000.0,433000000.0,403000000.0,396000000.0,,107000000.0,251000000.0,187000000.0,390000000.0,396000000.0,,107000000.0,248000000.0,433000000.0,396000000.0,,207000000.0,393000000.0,396000000.0,207000000.0,396000000.0,396000000.0,396000000.0,CommonMetricExtracted
TotalLiability,,,,,,,,2221000000.0,5596000000.0,5251000000.0,6822000000.0,6150000000.0,,8592000000.0,8837000000.0,9836000000.0,9356000000.0,10522000000.0,9295000000.0,9467000000.0,,,,2221000000.0,5251000000.0,6150000000.0,8592000000.0,9836000000.0,10522000000.0,9467000000.0,,2221000000.0,6822000000.0,8592000000.0,9356000000.0,9467000000.0,,2221000000.0,6150000000.0,9836000000.0,9467000000.0,,5251000000.0,8837000000.0,9467000000.0,5251000000.0,9467000000.0,9467000000.0,9467000000.0,CommonMetricExtracted
ShareholderEquity,,,,,,,,4026000000.0,940000000.0,1311000000.0,1068000000.0,1487000000.0,,,2708000000.0,3769000000.0,4543000000.0,4405000000.0,4997000000.0,4770000000.0,,,,4026000000.0,1311000000.0,1487000000.0,,3769000000.0,4405000000.0,4770000000.0,,4026000000.0,1068000000.0,,4543000000.0,4770000000.0,,4026000000.0,1487000000.0,3769000000.0,4770000000.0,,1311000000.0,2708000000.0,4770000000.0,1311000000.0,4770000000.0,4770000000.0,4770000000.0,CommonMetricExtracted
OperatingCashFlow,,,,,,,497000000.0,454000000.0,681000000.0,626000000.0,664000000.0,713000000.0,1346000000.0,1790000000.0,1795000000.0,2126000000.0,2213000000.0,1912000000.0,2353000000.0,2953000000.0,,,,497000000.0,681000000.0,664000000.0,1346000000.0,1795000000.0,2213000000.0,2353000000.0,,,681000000.0,713000000.0,1795000000.0,1912000000.0,,,681000000.0,1346000000.0,2213000000.0,,,664000000.0,2126000000.0,,664000000.0,,,CommonMetricExtracted
CapitalExpenditures,,,,,,,135000000.0,126000000.0,184000000.0,180000000.0,224000000.0,216000000.0,224000000.0,338000000.0,460000000.0,453000000.0,477000000.0,586000000.0,732000000.0,655000000.0,,,,135000000.0,184000000.0,224000000.0,224000000.0,460000000.0,477000000.0,732000000.0,,,184000000.0,216000000.0,460000000.0,586000000.0,,,184000000.0,224000000.0,477000000.0,,,224000000.0,453000000.0,,224000000.0,,,CommonMetricExtracted
InvestingCashFlow,,,,,,,-449000000.0,-135000000.0,-179000000.0,-187000000.0,-1115000000.0,-214000000.0,-270000000.0,-2259000000.0,-504000000.0,-572000000.0,-458000000.0,-883000000.0,-777000000.0,-315000000.0,,,,-449000000.0,-179000000.0,-1115000000.0,-270000000.0,-504000000.0,-458000000.0,-777000000.0,,,-179000000.0,-214000000.0,-504000000.0,-883000000.0,,,-179000000.0,-270000000.0,-458000000.0,,,-1115000000.0,-572000000.0,,-1115000000.0,,,CommonMetricExtracted
DividendsPaid,,,,,,,416000000.0,63000000.0,98000000.0,146000000.0,168000000.0,188000000.0,206000000.0,243000000.0,314000000.0,380000000.0,474000000.0,611000000.0,692000000.0,786000000.0,,,,416000000.0,98000000.0,168000000.0,206000000.0,314000000.0,474000000.0,692000000.0,,,98000000.0,188000000.0,314000000.0,611000000.0,,,98000000.0,206000000.0,474000000.0,,,168000000.0,380000000.0,,168000000.0,,,CommonMetricExtracted
FinancingCashFlow,,,,,,,-30000000.0,-78000000.0,-200000000.0,-154000000.0,755000000.0,-903000000.0,-251000000.0,533000000.0,-951000000.0,123000000.0,-1862000000.0,-904000000.0,-3109000000.0,-2660000000.0,,,,-30000000.0,-200000000.0,755000000.0,-251000000.0,-951000000.0,-1862000000.0,-3109000000.0,,,-200000000.0,-903000000.0,-951000000.0,-904000000.0,,,-200000000.0,-251000000.0,-1862000000.0,,,755000000.0,123000000.0,,755000000.0,,,CommonMetricExtracted
